house_price	surface	rooms_in_house	floor_in_house	total_house_floors	agency	address	latitude	longitude	location	is_last_floor	dist
10000	47	1	8	10	False	Липецк,  улица Белянского, 12 	52.606946449999995	39.50181181484047	Липецк,  улица Белянского, 12 , р-н Советский	False	6.521421824154973
16000	54	2	10	10	False	Липецк,  ул. Валентины Терешковой, 29А 	52.61310095	39.57484113518641	Липецк,  ул. Валентины Терешковой, 29А , р-н Советский	True	1.6416515817856434
20000	50	1	9	16	False	Липецк,  ул. Космонавтов, 3А 	52.61672455	39.580665518235364	Липецк,  ул. Космонавтов, 3А , р-н Советский	False	1.4692530989624284
9000	56	2	8	16	True	Липецк,  ул. Свиридова, 8 	52.57901175	39.50515657827046	Липецк,  ул. Свиридова, 8 , р-н Октябрьский	False	7.11370240492388
13000	62	2	3	9	True	Липецк,  ул Гоголя, 21 	52.60030424999999	39.569288449999995	Липецк,  ул Гоголя, 21 , р-н Октябрьский	False	2.165062986020563
15000	49	2	5	9	False	Липецк,  Московская ул., 139 	52.59748235	39.51258825	Липецк,  Московская ул., 139 , р-н Советский	False	5.924390712307203
10000	45.8	1	20	22	False	Липецк,  ул. Бехтеева, 5 	52.6054141	39.507691	Липецк,  ул. Бехтеева, 5 , р-н Советский	False	6.13161203431909
8500	18.5	1	4	5	False	Липецк,  ул. Циолковского, 4/2 	52.616263149999995	39.54811170980631	Липецк,  ул. Циолковского, 4/2 , р-н Советский	False	3.4814245823256535
12000	52	2	7	10	True	Липецк,  ул. Стаханова, 39 	52.5863744	39.52280363390639	Липецк,  ул. Стаханова, 39 , р-н Октябрьский	False	5.6758847046547025
12000	41	1	14	17	False	Липецк,  ул. Свиридова 	52.5768107	39.5193964	Липецк,  ул. Свиридова , р-н Октябрьский	False	6.4090265909644115
9000	40	1	8	10	False	Липецк,  ул. Сергея Казьмина, 6 	52.59604046630435	39.55364041515763	Липецк,  ул. Сергея Казьмина, 6 , р-н Правобережный	False	3.3262857995316346
